name,price ($),weight (kg),length (m),width (m),height (m),shipment date,destination port
Backpacking Tent,190.35,3.88,2.06,1.54,1.44,2023-03-27,Port of Singapore (Singapore)
Pallete of Smartphones,7711.51,13457.8,0.24,0.47,0.07,2023-03-15,Port of Tianjin (China)
Insulation Rolls,27.56,5.21,1.86,0.96,0.05,2023-03-27,Port of Singapore (Singapore)
Gaming Console,469.86,2.99,0.24,0.3,0.16,2023-03-24,Port of Singapore (Singapore)
Sprinkler System,279.11,6.2,0.56,0.8,0.15,2023-03-24,Port of Busan (South Korea)
Pallete of Apples,79.41,219.43,1.1,0.83,0.51,2023-03-16,Port of Tianjin (China)
Medium Shipping Tube,11.26,0.34,0.39,0.22,0.68,2023-03-24,Port of Singapore (Singapore)
Pallete of Apples,76.42,206.61,1.07,0.8,0.66,2023-03-25,Port of Tianjin (China)
Lawn Mower,132.98,41.44,1.25,1.19,0.59,2023-03-12,Port of Busan (South Korea)
Water Heater,72.13,7.02,0.32,0.38,0.2,2023-03-15,Port of Busan (South Korea)
Small Desk,83.79,12.77,0.73,0.67,0.74,2023-03-15,Port of Busan (South Korea)
Fruit Basket,25.27,2.05,0.5,0.34,0.27,2023-03-26,Port of Tianjin (China)
Steel Bars,176.17,57.86,2.76,0.15,0.69,2023-03-27,Port of Tokyo (Japan)
Digital Camera,349.71,0.37,0.14,0.07,0.09,2023-03-28,Port of Tianjin (China)
Foam Roller,48.32,0.83,0.35,0.18,0.15,2023-03-21,Port of Tokyo (Japan)
Pallete of Chairs,1259.9,3116.82,1.24,1.14,1.07,2023-03-12,Port of Singapore (Singapore)
Dining Table,345.93,50.61,1.34,1.23,1.37,,Port of Shanghai (China)
PC Mice,11.83,0.18,0.91,0.33,0.22,2023-03-28,Port of Tianjin (China)
Briefcase,37.52,2.06,0.55,0.65,0.23,2023-03-18,Port of Singapore (Singapore)
Garden Cart,93.99,11.77,0.98,0.64,0.42,2023-03-18,Port of Busan (South Korea)
Picture Frame,22.89,0.5,0.22,0.19,0.03,2023-03-27,Port of Tokyo (Japan)
Small Shipping Tube,6.0,0.21,0.24,0.07,0.38,2023-03-19,Port of Tianjin (China)
Large Padded Envelope,6.05,0.24,0.29,0.12,0.04,2023-03-20,Port of Singapore (Singapore)
Forklift,5880.44,5979.71,2.03,1.33,1.57,2023-03-24,Port of Shanghai (China)
Electric Shaver,154.5,0.3,0.19,0.04,0.09,2023-03-20,Port of Tokyo (Japan)
Movie Night Pack,23.72,3.83,0.96,0.48,0.27,2023-03-25,Port of Tokyo (Japan)
Umbrella,20.82,0.25,0.59,0.29,0.12,2023-03-18,Port of Tokyo (Japan)
Portable Bluetooth Keyboard,69.31,0.25,0.19,0.09,0.03,2023-03-16,Port of Shanghai (China)
Coffee Maker,188.77,1.11,0.31,0.29,0.27,2023-03-13,Port of Tokyo (Japan)
Showerhead,36.52,0.68,0.4,0.2,0.15,2023-03-14,Port of Busan (South Korea)
Microwave Oven,112.47,10.76,0.58,0.43,0.29,2023-03-17,Port of Tokyo (Japan)
Wristwatch,111.06,0.14,0.26,0.03,0.09,2023-03-20,Port of Busan (South Korea)
Cookware Set,107.13,8.15,0.43,0.35,0.15,2023-03-17,Port of Tokyo (Japan)
Pallete of Tables,2145.06,5035.32,1.76,1.49,1.12,2023-03-23,Port of Tianjin (China)
Tea Kettle,29.05,1.12,0.36,0.4,0.22,2023-03-15,Port of Tianjin (China)
Violin,560.4,1.9,0.34,0.1,0.07,2023-03-18,Port of Tokyo (Japan)
Resistance Bands,23.75,0.58,0.12,0.06,0.02,2023-03-13,Port of Singapore (Singapore)
Jet Ski,3334.82,147.0,1.67,0.93,1.12,2023-03-12,Port of Shanghai (China)
Bassinet,109.87,7.26,0.77,0.66,0.69,2023-03-27,Port of Tokyo (Japan)
Stone Slabs,163.66,97.59,0.65,0.68,0.08,2023-03-14,Port of Shanghai (China)
Guitar,126.5,2.93,0.46,0.21,0.06,2023-03-26,Port of Shanghai (China)
Pallete of Shoes,1596.55,4118.14,1.05,0.8,1.09,2023-03-28,Port of Singapore (Singapore)
Toy Car,10.12,0.33,0.37,0.3,0.1,2023-03-23,Port of Tianjin (China)
Big Bag with Sand,92.0,967.81,1.33,0.72,0.27,2023-03-18,Port of Shanghai (China)
Wine Opener,14.52,0.5,0.19,0.17,0.08,2023-03-22,Port of Shanghai (China)
Backpacking Tent,210.36,3.04,2.2,1.95,1.67,2023-03-25,Port of Tianjin (China)
Lawn Sprinkler,25.29,0.54,0.38,0.23,0.11,2023-03-22,Port of Shanghai (China)
Bag of Rice,19.6,6.86,0.83,0.55,0.59,2023-03-19,Port of Shanghai (China)
Breakfast Bundle,30.67,1.12,0.79,0.42,0.23,2023-03-25,Port of Busan (South Korea)
Big Bag with Rocks,174.15,1485.59,1.9,0.62,0.23,2023-03-19,Port of Shanghai (China)
Forklift,6159.79,6420.4,2.23,2.03,1.91,2023-03-24,Port of Shanghai (China)
Folding Table,33.58,8.01,0.92,0.92,0.11,2023-03-15,Port of Shanghai (China)
Pallete of Chips,124.92,297.15,1.03,0.96,1.39,2023-03-16,Port of Shanghai (China)
Keyboard,207.62,0.99,1.48,0.5,0.16,2023-03-24,Port of Tianjin (China)
Pallete of Coffee,320.73,930.19,1.03,0.84,1.38,2023-03-15,Port of Singapore (Singapore)
TV,1819.66,26.21,1.72,1.74,0.5,2023-03-16,Port of Singapore (Singapore)
Glass Sheets,90.82,33.18,1.96,1.2,0.09,2023-03-28,Port of Tianjin (China)
Gaming Console,403.77,3.44,0.42,0.34,0.11,2023-03-14,Port of Tianjin (China)
Jump Rope,5.3,0.23,0.06,0.06,0.01,2023-03-16,Port of Singapore (Singapore)
Piano,4217.14,172.13,1.21,1.87,1.02,2023-03-15,Port of Singapore (Singapore)
Teapot,52.92,1.36,0.29,0.3,0.2,2023-03-17,Port of Tianjin (China)
Breakfast Bundle,22.67,1.71,0.74,0.42,0.29,2023-03-12,Port of Tianjin (China)
Portable Charger,52.41,0.41,0.11,0.09,0.04,2023-03-17,Port of Singapore (Singapore)
Pallete of Coffee,289.07,802.57,1.04,0.99,1.48,2023-03-23,Port of Singapore (Singapore)
Mattress,399.79,30.88,1.77,1.45,0.3,2023-03-16,Port of Busan (South Korea)
Fruit Basket,28.0,1.35,0.59,0.38,0.25,2023-03-15,Port of Tianjin (China)
Toaster,32.61,1.58,0.24,0.25,0.29,2023-03-27,Port of Busan (South Korea)
Running Shoes,62.38,0.67,0.32,0.21,0.15,2023-03-19,Port of Tokyo (Japan)
Bookshelf,305.42,17.29,1.16,0.49,0.99,2023-03-25,Port of Tianjin (China)
Pallete of Tires,649.68,1814.96,1.28,0.95,1.36,2023-03-27,Port of Tokyo (Japan)
Compost Bin,70.7,7.61,0.69,0.99,0.8,2023-03-18,Port of Tokyo (Japan)
Large Shipping Tube,26.91,0.62,0.71,0.42,1.53,2023-03-18,Port of Busan (South Korea)
Pallete of Bananas,95.36,343.36,1.1,0.88,0.65,2023-03-23,Port of Singapore (Singapore)
Shelves,68.93,11.07,1.7,0.32,1.0,2023-03-12,Port of Tokyo (Japan)
Big Bag with Paper Scraps,98.17,1846.69,1.89,0.64,0.28,2023-03-18,Port of Singapore (Singapore)
Washing Machine,348.18,38.98,0.9,0.73,1.27,2023-03-21,Port of Singapore (Singapore)
Pallete of Books,244.97,964.89,1.42,0.8,1.07,2023-03-15,Port of Singapore (Singapore)
Pallete of Books,200.46,925.27,1.06,0.8,1.06,2023-03-26,Port of Singapore (Singapore)
Television,280.56,7.95,0.78,0.75,0.23,2023-03-15,Port of Tianjin (China)
Mixed Dried Fruits,16.27,0.73,0.27,0.22,0.18,2023-03-27,Port of Tianjin (China)
Television,173.56,7.36,0.56,0.74,0.19,2023-03-23,Port of Singapore (Singapore)
Microwave,106.93,14.99,0.52,0.59,0.3,2023-03-13,Port of Singapore (Singapore)
Weed Whacker,130.88,3.55,0.9,0.23,0.25,2023-03-14,Port of Tokyo (Japan)
Ceramic Tiles,24.22,8.84,0.34,0.28,0.01,2023-03-24,Port of Shanghai (China)
Portable Charger,30.04,0.35,0.13,0.06,0.03,2023-03-22,Port of Tianjin (China)
Backpack,125.95,0.84,0.26,0.23,0.5,2023-03-14,Port of Tianjin (China)
Box of Clothes,31.0,5.45,0.46,0.57,0.5,2023-03-16,Port of Tokyo (Japan)
Pallete of Paper Towels,275.62,681.21,1.41,1.04,0.6,2023-03-20,Port of Tokyo (Japan)
Large Box,37.17,0.69,0.91,0.53,0.31,2023-03-15,Port of Tokyo (Japan)
Guitar,63.05,4.19,0.65,0.44,0.06,2023-03-23,Port of Busan (South Korea)
Pillows,25.11,1.03,0.22,0.3,0.17,2023-03-26,Port of Tianjin (China)
Pallete of Musical Instruments,892.67,1827.07,1.32,1.05,0.58,2023-03-12,Port of Busan (South Korea)
Duvet,171.12,4.07,2.43,1.93,0.2,2023-03-28,Port of Busan (South Korea)
Small Padded Envelope,3.91,0.1,0.19,0.06,0.04,2023-03-12,Port of Tianjin (China)
Big Bag with Paper Scraps,117.26,1958.86,1.73,1.08,0.14,2023-03-19,Port of Tianjin (China)
External Hard Drives,229.45,1.04,0.45,0.27,0.44,2023-03-27,Port of Singapore (Singapore)
Big Bag with Coal,107.08,978.93,1.95,0.63,0.1,2023-03-20,Port of Shanghai (China)
Smart Home Devices,487.88,0.15,2.6,1.06,0.31,2023-03-26,Port of Tianjin (China)
Measuring Cups and Spoons,12.03,0.74,0.23,0.26,0.15,,Port of Busan (South Korea)
Dog Crate,33.71,7.74,1.2,0.63,0.49,2023-03-17,Port of Tokyo (Japan)
Scooter,64.31,2.37,1.13,0.26,0.45,2023-03-22,Port of Shanghai (China)
Pallete of Laptops,10897.03,22184.73,0.56,0.56,0.12,2023-03-22,Port of Tokyo (Japan)
Pallete of Cleaning Products,152.43,662.58,1.02,0.99,1.25,2023-03-27,Port of Shanghai (China)
Bluetooth Speaker,116.41,0.73,0.26,0.22,0.14,2023-03-12,Port of Tokyo (Japan)
Portable Charger,22.16,0.32,0.15,0.09,0.03,2023-03-25,Port of Busan (South Korea)
TV Stand,47.56,12.5,0.82,0.49,0.41,2023-03-27,Port of Shanghai (China)
Sprinkler System,462.75,7.65,0.71,0.71,0.17,2023-03-24,Port of Busan (South Korea)
Pallete of Orange Juice,161.55,521.42,1.13,0.8,1.44,2023-03-25,Port of Tianjin (China)
Bassinet,126.01,6.31,0.7,0.5,0.6,2023-03-23,Port of Tokyo (Japan)
Toaster,21.7,1.2,0.24,0.24,0.28,2023-03-26,Port of Tokyo (Japan)
Resistance Bands,21.32,0.11,0.48,0.03,0.03,2023-03-27,Port of Shanghai (China)
Ceramic Tiles,24.76,9.43,0.38,0.43,0.02,2023-03-25,Port of Shanghai (China)
Oranges,173.91,292.67,0.41,0.63,0.7,2023-03-15,Port of Tianjin (China)
Large Bubble Mailer,9.95,0.19,0.23,0.2,0.06,2023-03-16,Port of Singapore (Singapore)
Drone,1737.94,1.02,0.99,0.67,0.13,2023-03-25,Port of Singapore (Singapore)
Headphones,74.0,0.14,0.18,0.2,0.05,2023-03-19,Port of Tianjin (China)
Hedge Trimmer,111.47,4.47,0.92,0.26,0.14,2023-03-27,Port of Tianjin (China)
Pallete of Beer Cases,213.65,509.61,1.18,0.8,1.02,2023-03-16,Port of Shanghai (China)
Bag of Rice,18.82,7.86,0.72,0.56,0.27,2023-03-21,Port of Tokyo (Japan)
Microwave,117.6,10.36,0.54,0.51,0.22,2023-03-22,Port of Tokyo (Japan)
Large Flat Rate Box,34.23,0.91,0.83,0.45,0.39,2023-03-27,Port of Shanghai (China)
Pallete of Cookies,100.85,230.79,1.08,0.88,1.25,2023-03-16,Port of Busan (South Korea)
Coffee Maker,107.8,1.69,0.22,0.29,0.22,2023-03-20,Port of Singapore (Singapore)
Jump Rope,15.85,0.1,0.06,0.05,0.02,2023-03-18,Port of Shanghai (China)
Swim Goggles,7.57,0.13,0.13,0.05,0.05,2023-03-16,Port of Busan (South Korea)
Pallete of Bananas,108.32,381.89,1.03,0.95,0.7,2023-03-23,Port of Busan (South Korea)
Electric Shaver,134.78,0.27,0.11,0.03,0.1,2023-03-28,Port of Tianjin (China)
Running Shoes,73.78,1.28,0.23,0.34,0.15,2023-03-17,Port of Tokyo (Japan)
Box of Toys,78.16,3.23,0.4,0.41,0.5,2023-03-26,Port of Busan (South Korea)
Tennis Racket,82.8,0.34,0.7,0.24,0.08,2023-03-18,Port of Busan (South Korea)
Pool Table,720.92,114.92,2.45,1.44,0.64,2023-03-17,Port of Busan (South Korea)
Pallete of Frozen Meat,591.34,1324.7,1.18,0.86,1.45,2023-03-21,Port of Tianjin (China)
Sewing Machine,537.12,17.54,0.69,0.66,0.49,2023-03-22,Port of Tokyo (Japan)
Swim Goggles,9.14,0.17,0.14,0.08,0.06,2023-03-14,Port of Tokyo (Japan)
ATV,1209.68,627.26,2.14,1.35,1.45,2023-03-20,Port of Shanghai (China)
Pallete of Shoes,1682.07,4497.68,1.09,0.8,1.07,2023-03-21,Port of Singapore (Singapore)
Small Desk,55.35,29.49,0.72,0.51,0.77,2023-03-23,Port of Tianjin (China)
Mixed Dried Fruits,12.14,0.56,0.39,0.22,0.1,2023-03-25,Port of Singapore (Singapore)
Desk Chair,195.0,10.69,1.04,0.55,0.59,2023-03-24,Port of Shanghai (China)
Forklift,7057.77,6653.8,2.09,1.62,1.95,2023-03-14,Port of Singapore (Singapore)
Bookshelf,211.91,18.35,1.25,0.91,0.83,2023-03-19,Port of Tianjin (China)
Garden Rake,24.42,1.47,0.8,0.21,0.3,2023-03-18,Port of Tianjin (China)
Apples,143.81,251.07,0.65,0.6,0.7,2023-03-17,Port of Tianjin (China)
Smartphone Case,9.54,0.06,0.13,0.1,0.02,2023-03-12,Port of Tokyo (Japan)
Vacuum Cleaner,818.23,8.71,0.77,0.53,0.24,2023-03-22,Port of Busan (South Korea)
Coffee Maker,151.84,2.4,0.33,0.27,0.4,2023-03-16,Port of Busan (South Korea)
TV Stand,89.35,6.23,0.69,0.48,0.55,2023-03-12,Port of Singapore (Singapore)
Pallete of Paper Towels,212.51,641.97,1.01,1.15,0.73,2023-03-28,Port of Tokyo (Japan)
Pallete of Crackers,105.85,242.03,1.11,0.93,1.22,2023-03-14,Port of Tianjin (China)
Tablet,949.88,0.79,0.14,0.35,0.02,2023-03-28,Port of Shanghai (China)
Metal Pipes,89.23,55.45,2.46,0.11,1.86,2023-03-26,Port of Busan (South Korea)
Pallete of Laptops,11710.85,22469.29,0.56,0.55,0.13,2023-03-18,Port of Singapore (Singapore)
Drawstring Bag,11.65,0.93,0.2,0.29,0.17,2023-03-19,Port of Tianjin (China)
Television,400.58,23.89,1.07,0.24,0.14,2023-03-17,Port of Tianjin (China)
Printer,342.26,7.54,0.31,0.49,0.26,2023-03-27,Port of Shanghai (China)
Garden Shears,16.75,0.71,0.28,0.06,0.03,2023-03-16,Port of Tianjin (China)
Bathroom Scale,27.24,1.24,0.35,0.35,0.04,2023-03-16,Port of Singapore (Singapore)
Printer,346.98,8.31,0.49,0.44,0.28,2023-03-13,Port of Tokyo (Japan)
Yoga Mat,30.51,1.93,1.66,0.77,0.01,2023-03-17,Port of Busan (South Korea)
Big Bag with Metal Scraps,230.88,1626.25,1.66,0.63,0.11,2023-03-18,Port of Shanghai (China)
Hoe,25.29,2.94,0.86,0.42,0.4,2023-03-20,Port of Singapore (Singapore)
Bricks,96.33,28.84,0.96,0.48,0.12,2023-03-13,Port of Shanghai (China)
Pineapple (Canned),79.64,48.99,0.4,0.3,0.3,2023-03-12,Port of Singapore (Singapore)
Jet Ski,6742.06,181.48,2.35,0.87,1.31,2023-03-14,Port of Busan (South Korea)
Pallete of Canned Vegetables,147.91,364.78,1.07,0.88,1.33,2023-03-16,Port of Singapore (Singapore)
Big Bag with Food Ingredients,169.54,847.56,1.35,0.51,0.22,2023-03-25,Port of Tokyo (Japan)
Sunglasses,33.21,0.22,0.16,0.07,0.05,2023-03-17,Port of Singapore (Singapore)
Plywood Sheets,36.84,17.31,1.33,1.09,0.02,2023-03-21,Port of Singapore (Singapore)
Weed Whacker,83.18,4.82,0.81,0.24,0.3,2023-03-19,Port of Tianjin (China)
Extra Large Box,48.26,1.48,1.15,0.61,0.52,2023-03-26,Port of Busan (South Korea)
Pineapple (Canned),110.88,70.22,0.4,0.3,0.3,2023-03-18,Port of Busan (South Korea)
Pallete of Frozen Meat,594.19,1369.07,1.09,0.96,1.26,2023-03-21,Port of Singapore (Singapore)
Pallete of Plastic Cups,124.39,341.48,1.2,0.8,1.2,2023-03-21,Port of Tokyo (Japan)
Washing Machine,403.04,35.48,1.05,0.73,1.26,,Port of Tianjin (China)
Paper Towel Holder,23.46,1.16,0.27,0.12,0.27,2023-03-22,Port of Singapore (Singapore)
Headphones,103.54,0.26,0.18,0.2,0.08,2023-03-20,Port of Tokyo (Japan)
Bottle of Olive Oil,10.6,1.12,0.26,0.1,0.14,2023-03-18,Port of Singapore (Singapore)
Insulation Rolls,16.17,8.59,1.71,0.97,0.07,2023-03-25,Port of Tianjin (China)
Wheat Flour,36.03,4.65,0.4,0.5,0.3,2023-03-27,Port of Singapore (Singapore)
Big Bag with Granules,75.32,791.32,1.31,0.63,0.26,2023-03-16,Port of Shanghai (China)
Pallete of Cement,262.24,1016.26,1.45,1.1,1.27,2023-03-26,Port of Tianjin (China)
Portable Charger,26.33,0.47,0.11,0.06,0.02,2023-03-24,Port of Singapore (Singapore)
Leaf Blower,84.17,4.52,0.76,0.31,0.23,2023-03-24,Port of Singapore (Singapore)
Pillows,10.29,1.52,0.28,0.28,0.1,2023-03-15,Port of Singapore (Singapore)
Pallete of Cookies,82.61,232.38,1.18,0.84,1.23,2023-03-21,Port of Singapore (Singapore)
Large Padded Envelope,5.45,0.27,0.26,0.11,0.1,2023-03-28,Port of Tokyo (Japan)
Coffee Table,133.47,10.74,0.89,0.58,0.53,2023-03-13,Port of Shanghai (China)
Assorted Chocolates,20.56,0.64,0.27,0.34,0.12,2023-03-14,Port of Singapore (Singapore)
Couch,748.52,80.4,1.92,0.93,1.11,2023-03-16,Port of Shanghai (China)
Medium Shipping Tube,11.99,0.22,0.4,0.11,0.73,2023-03-12,Port of Shanghai (China)
Box of Cans of Tuna,25.17,9.71,0.79,0.55,0.16,2023-03-22,Port of Shanghai (China)
Garden Hose,15.54,1.34,19.3,0.17,0.21,2023-03-25,Port of Shanghai (China)
Electric Shaver,186.89,0.25,0.18,0.05,0.06,2023-03-27,Port of Busan (South Korea)
Drum Set,886.25,51.43,0.91,0.76,1.39,2023-03-17,Port of Singapore (Singapore)
Cookware Set,455.57,8.65,0.39,0.44,0.1,2023-03-13,Port of Busan (South Korea)
Sneakers,159.22,1.9,0.38,0.21,0.32,2023-03-22,Port of Singapore (Singapore)
Small Box,5.02,0.29,0.2,0.23,0.14,2023-03-23,Port of Tokyo (Japan)
Backpack,42.41,1.34,0.25,0.44,0.11,2023-03-15,Port of Busan (South Korea)
Golf Cart,9582.44,365.57,1.73,0.9,1.49,2023-03-21,Port of Singapore (Singapore)
Pallete of Wine Bottles,423.93,890.7,1.16,0.82,1.19,2023-03-27,Port of Singapore (Singapore)
Lawn Mower,324.12,33.63,1.19,0.95,0.64,2023-03-20,Port of Tianjin (China)
Sewing Machine,344.34,16.25,0.64,0.45,0.35,2023-03-18,Port of Shanghai (China)
Desktop Computer,1253.58,8.43,0.34,0.36,0.58,2023-03-23,Port of Tianjin (China)
Apples,140.46,103.81,0.65,0.6,0.7,2023-03-14,Port of Singapore (Singapore)
Medium Box,13.64,0.37,0.47,0.4,0.22,2023-03-12,Port of Singapore (Singapore)
Pallete of Magazines,101.08,453.86,1.04,0.8,1.1,2023-03-13,Port of Tianjin (China)
Instant Noodle Pack,6.93,0.25,0.14,0.11,0.09,2023-03-13,Port of Shanghai (China)
Corn (Canned),59.5,83.53,0.4,0.3,0.3,2023-03-15,Port of Shanghai (China)
Box of Tea,37.09,1.63,0.73,0.43,0.3,2023-03-19,Port of Shanghai (China)
Medium Flat Rate Box,24.5,0.49,0.71,0.43,0.29,2023-03-23,Port of Tianjin (China)
Rice,32.55,173.15,0.65,0.65,0.44,2023-03-14,Port of Tokyo (Japan)
Backpacking Tent,155.04,2.84,1.81,1.8,1.07,2023-03-23,Port of Tianjin (China)
Extra Large Box,50.68,1.23,1.34,0.78,0.51,2023-03-28,Port of Shanghai (China)
Speakers,256.51,9.17,0.26,0.47,0.48,2023-03-22,Port of Shanghai (China)
Pallete of Breakfast Cereal,181.58,370.11,1.07,0.99,1.48,2023-03-15,Port of Busan (South Korea)
Tea Kettle,39.32,0.82,0.49,0.33,0.23,2023-03-14,Port of Singapore (Singapore)
Microphone,113.08,0.22,0.1,0.09,0.18,2023-03-19,Port of Busan (South Korea)
Pallete of Coffee,331.46,969.72,1.1,0.85,1.44,2023-03-24,Port of Busan (South Korea)
Box of Crackers,3.89,0.37,0.19,0.06,0.06,2023-03-17,Port of Singapore (Singapore)
Fitness Trackers,455.07,0.11,0.35,0.77,0.26,2023-03-15,Port of Busan (South Korea)
Pallete of T-shirts,630.33,1868.03,1.03,1.17,0.54,2023-03-18,Port of Tokyo (Japan)
Plant,39.58,1.99,0.34,0.24,0.37,2023-03-28,Port of Busan (South Korea)
Pallete of Books,264.72,994.49,1.21,0.8,1.09,2023-03-17,Port of Busan (South Korea)
Car,71451.01,3616.42,3.52,2.07,1.45,2023-03-17,Port of Tokyo (Japan)
Floor Lamp,58.46,1.46,0.37,0.3,1.42,2023-03-17,Port of Tianjin (China)
Large Bubble Mailer,6.9,0.12,0.24,0.15,0.06,2023-03-20,Port of Busan (South Korea)
Movie Night Pack,22.51,3.57,0.81,0.53,0.27,2023-03-22,Port of Tianjin (China)
Dining Table,848.7,54.9,1.62,0.95,1.07,2023-03-22,Port of Busan (South Korea)
Running Shoes,51.86,0.73,0.45,0.16,0.11,2023-03-17,Port of Tokyo (Japan)
Beach Towel,10.57,0.65,1.85,1.2,0.11,2023-03-25,Port of Tianjin (China)
Coffee Maker,64.67,1.33,0.47,0.39,0.23,2023-03-23,Port of Shanghai (China)
Speakers,151.14,4.85,0.24,0.2,0.43,2023-03-24,Port of Busan (South Korea)
Computer,527.77,3.39,0.48,0.55,0.16,2023-03-21,Port of Tianjin (China)
Beach Towel,13.27,0.99,1.56,0.72,0.07,2023-03-20,Port of Singapore (Singapore)
Sewing Machine,461.5,18.4,0.59,0.59,0.37,2023-03-20,Port of Tianjin (China)
Tablets,388.43,0.57,1.0,0.33,0.18,2023-03-28,Port of Shanghai (China)
Coffee Beans,279.13,270.55,0.29,0.14,0.19,2023-03-20,Port of Tianjin (China)
Pallete of Breakfast Cereal,170.94,377.14,1.1,0.93,1.25,2023-03-20,Port of Shanghai (China)
Laptop Sleeve,35.01,0.35,0.33,0.05,0.25,2023-03-17,Port of Tianjin (China)
Coffee Maker,55.34,1.71,0.24,0.22,0.24,2023-03-19,Port of Busan (South Korea)
Weed Eater,55.54,3.69,1.02,0.35,0.12,2023-03-19,Port of Tokyo (Japan)
Bicycle,237.43,19.94,1.5,1.02,0.9,2023-03-28,Port of Tianjin (China)
Resistance Bands,17.0,0.51,0.13,0.09,0.02,2023-03-23,Port of Busan (South Korea)
Sunglasses,59.18,0.24,0.16,0.06,0.05,2023-03-17,Port of Busan (South Korea)
Swim Goggles,6.39,0.13,0.14,0.1,0.09,2023-03-17,Port of Shanghai (China)
Smartphone,901.65,0.27,0.13,0.08,0.11,2023-03-18,Port of Busan (South Korea)
Small Bubble Mailer,4.42,0.15,0.14,0.08,0.04,2023-03-20,Port of Tokyo (Japan)
Portable Charger,38.77,0.38,0.11,0.09,0.02,2023-03-27,Port of Tianjin (China)
Small Desk,103.43,10.67,0.75,0.57,0.76,,Port of Busan (South Korea)
Big Bag with Textile Scraps,146.91,1758.93,1.83,1.19,0.13,2023-03-25,Port of Shanghai (China)
Ceramic Tiles,17.99,5.32,0.27,0.45,0.01,2023-03-27,Port of Shanghai (China)
Box of Pasta,3.23,0.33,0.2,0.2,0.17,2023-03-24,Port of Busan (South Korea)
Air Conditioner,1230.81,33.78,0.7,0.32,0.19,2023-03-22,Port of Tokyo (Japan)
Gaming Console,545.08,2.55,0.3,0.31,0.18,2023-03-23,Port of Tianjin (China)
Shelves,270.32,11.11,1.23,0.23,0.8,2023-03-25,Port of Busan (South Korea)
Bed,325.3,119.53,1.38,1.94,1.45,2023-03-25,Port of Tianjin (China)
Armchair,565.02,15.65,0.91,0.74,0.83,2023-03-26,Port of Singapore (Singapore)
Fitness Trackers,266.59,0.14,0.32,0.63,0.12,2023-03-18,Port of Busan (South Korea)
Car,18989.14,2245.1,4.72,2.08,1.37,2023-03-12,Port of Tianjin (China)
Guitar Case,139.5,7.94,1.07,0.44,1.11,2023-03-20,Port of Singapore (Singapore)
Pool Table,524.06,121.38,2.49,1.15,0.58,2023-03-15,Port of Tokyo (Japan)
Hiking Boots,148.07,2.68,0.34,0.35,0.37,2023-03-25,Port of Busan (South Korea)
Pallete of Wine Bottles,491.79,870.54,1.15,0.86,1.06,2023-03-16,Port of Shanghai (China)
Electric Kettle,39.69,1.63,0.21,0.23,0.27,2023-03-14,Port of Shanghai (China)
Steel Bars,198.67,64.63,2.93,0.12,0.66,2023-03-12,Port of Tianjin (China)
Large Bubble Mailer,9.14,0.15,0.22,0.19,0.05,2023-03-20,Port of Busan (South Korea)
Large Box,26.58,0.77,0.78,0.58,0.35,2023-03-23,Port of Tokyo (Japan)
Can of Beans,1.57,0.27,0.13,0.14,0.15,2023-03-18,Port of Tianjin (China)
Drawstring Bag,10.36,0.33,0.18,0.23,0.15,2023-03-25,Port of Tokyo (Japan)
Lawn Mower,330.43,29.63,1.15,0.9,0.64,2023-03-27,Port of Tianjin (China)
Toilet Brush,9.47,0.49,0.15,0.1,0.31,2023-03-22,Port of Singapore (Singapore)
Hiking Boots,186.55,1.52,0.33,0.22,0.15,2023-03-19,Port of Tianjin (China)
Pallete of Shoes,378.12,1384.33,1.11,0.85,1.23,2023-03-12,Port of Tokyo (Japan)
Mixed Dried Fruits,16.28,0.58,0.38,0.3,0.2,2023-03-22,Port of Busan (South Korea)
Backpacking Tent,248.3,2.24,2.16,1.97,1.75,2023-03-12,Port of Singapore (Singapore)
Portable Charger,29.12,0.39,0.1,0.07,0.03,2023-03-28,Port of Singapore (Singapore)
Rice,115.05,102.14,0.9,0.68,0.45,2023-03-17,Port of Shanghai (China)
Large Padded Envelope,7.07,0.21,0.27,0.19,0.1,2023-03-23,Port of Singapore (Singapore)
Leaf Blower,101.94,6.79,0.7,0.38,0.48,2023-03-23,Port of Busan (South Korea)
Smart Home Devices,24.73,0.37,4.91,1.89,0.34,2023-03-24,Port of Tianjin (China)
Sailboat,187759.89,2281.27,20.01,3.64,5.65,2023-03-27,Port of Singapore (Singapore)
Bananas,157.12,265.96,0.63,0.6,0.7,2023-03-28,Port of Singapore (Singapore)
Pallete of Frozen Meat,570.2,1328.74,1.04,0.94,1.39,2023-03-14,Port of Tianjin (China)
Backpack,139.99,1.61,0.25,0.29,0.63,2023-03-18,Port of Tianjin (China)
Big Bag with Rocks,174.63,1496.17,1.92,1.03,0.14,2023-03-25,Port of Tokyo (Japan)
Drum Set,638.68,70.64,0.95,0.5,1.44,2023-03-25,Port of Tianjin (China)
Small Padded Envelope,2.35,0.1,0.18,0.08,0.02,2023-03-20,Port of Singapore (Singapore)
Portable Bluetooth Keyboard,88.03,0.38,0.11,0.05,0.03,2023-03-27,Port of Busan (South Korea)
